,Vertex,Edge,Diameter,Radius,Periphery,Center,Pentagon,Hexagon,Cycle,Q25 (L-eigenv),Q50 (L-eigenv),Q75 (L-eigenv),Q25 (A-eigenv),Q50 (A-eigenv),Q75 (A-eigenv),M (L-eigenv distr),V (L-eigenv distr),V (A-eigenv distr)
139,16,34,6,3,6,1,0,2,19,0.873892728,1.527426347,3.413464036,-1.103553391,-1.90E-17,1.103553391,2.125,2.734375,2.125
140,11,22,5,3,4,2,0,1,12,0.624061795,1.476090986,3.340440505,-1.14317664,6.02E-33,1.14317664,2,2.727272727,2
141,20,44,10,5,3,1,0,3,25,0.823975455,1.681856468,3.773754684,-1.290213819,1.78E-17,1.290213819,2.2,2.86,2.2
142,12,24,6,3,4,1,0,1,13,0.825311312,1.515243969,3.134754092,-1.131332974,7.68E-17,1.131332974,2,2.5,2
143,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
144,16,34,9,5,4,3,0,2,19,0.909419617,1.604143321,3.309167936,-1.13678714,-3.11E-17,1.13678714,2.125,2.609375,2.125
145,16,34,10,5,3,1,0,2,19,0.927579385,1.647396204,3.228265605,-1.064820032,0,1.064820032,2.125,2.609375,2.125
146,13,28,7,4,3,3,1,1,16,1,1.780313129,3.310459651,-1.10549389,-1.30E-34,1.160534338,2.153846154,2.74556213,2.153846154
147,15,34,7,4,3,4,1,2,20,0.79714142,1.764625512,3.62226754,-1.335722717,-4.16E-33,1.158587906,2.266666667,2.728888889,2.266666667
148,20,44,11,6,4,4,0,3,25,0.900975838,1.680162512,3.437962713,-1.21367725,-5.34E-17,1.21367725,2.2,2.76,2.2
149,12,24,6,3,3,1,1,0,13,0.693420215,1.595342495,3.289109138,-1.222644429,-7.07E-17,1.031591006,2,2.666666667,2
150,12,26,5,3,5,2,1,1,15,0.878172814,1.755613764,3.491992521,-1.343571975,0.139277748,1.116878654,2.166666667,2.638888889,2.166666667
151,22,50,8,5,6,2,1,3,29,0.967473914,1.771971911,3.536809426,-1.310660172,3.54E-17,1.310660172,2.272727273,2.834710744,2.272727273
152,15,34,6,3,5,1,1,2,20,0.841802405,1.78510192,3.529231358,-1.235055413,4.40E-17,1.18350229,2.266666667,2.728888889,2.266666667
153,12,26,6,4,4,5,1,1,15,0.920813275,1.780001437,3.483533029,-1.290471707,0.14748145,1.228774221,2.166666667,2.638888889,2.166666667
154,14,28,7,4,3,3,0,1,15,0.662376813,1.354491345,3.212664743,-1.078874042,0,1.078874042,2,2.714285714,2
155,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
156,20,46,8,4,4,1,0,4,27,0.849371006,1.851011555,3.712880975,-1.251677386,0,1.251677386,2.3,2.81,2.3
157,20,44,11,6,4,3,1,2,25,0.954547677,1.816753233,3.494401539,-1.20845291,6.78E-17,1.230543091,2.2,2.76,2.2
158,20,46,8,4,4,1,0,4,27,0.865137641,1.860580492,3.678407975,-1.198828683,2.41E-18,1.198828683,2.3,2.81,2.3
159,14,28,6,4,5,4,0,1,15,0.692058463,1.24903759,3.265683342,-1,-4.52E-17,1,2,2.857142857,2
160,26,60,9,5,5,2,0,5,35,1,1.842775049,3.675833554,-1.281542239,-2.87E-17,1.281542239,2.307692308,2.828402367,2.307692308
161,24,50,11,6,4,2,0,2,27,0.887564251,1.334630962,3.339646559,-1.094971643,8.65E-32,1.094971643,2.083333333,2.826388889,2.083333333
162,22,50,11,6,4,6,0,4,29,1,1.72162513,3.763092322,-1.185234703,1.53E-17,1.185234703,2.272727273,2.834710744,2.272727273
163,22,50,8,4,5,1,0,4,29,0.946035794,1.773452554,3.610688292,-1.122309492,1.14E-17,1.122309492,2.272727273,2.834710744,2.272727273
164,19,44,8,4,5,1,1,3,26,0.988978829,1.901147964,3.469961675,-1.265615097,3.70E-34,1.178978739,2.315789474,2.742382271,2.315789474
165,23,52,9,5,3,2,0,4,30,0.911547772,1.647070909,3.706863081,-1.223304101,-1.15E-19,1.223304101,2.260869565,2.801512287,2.260869565
166,22,50,9,5,4,2,0,4,29,0.859719643,1.765369731,3.690234681,-1.223282926,3.49E-17,1.223282926,2.272727273,2.834710744,2.272727273
167,11,22,7,4,3,4,0,1,12,0.741710091,1.447590543,3.143667911,-1.080469018,0,1.080469018,2,2.545454545,2
168,13,26,6,3,5,1,0,1,14,0.763529825,1.18325459,3.235010219,-1,0,1,2,2.769230769,2
169,17,38,8,4,3,1,0,3,22,0.896663825,1.701623965,3.461930414,-1.300833687,1.88E-46,1.300833687,2.235294118,2.650519031,2.235294118
170,24,50,11,6,4,2,0,2,27,0.885141039,1.262216018,3.34481226,-1.082551181,2.57E-32,1.082551181,2.083333333,2.826388889,2.083333333
171,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
172,21,44,11,6,4,2,0,2,24,1,1.380322559,3.255163781,-1,7.04E-50,1,2.095238095,2.752834467,2.095238095
173,22,50,10,5,4,1,1,3,29,1,1.84550848,3.496948177,-1.174337561,-3.90E-17,1.146354569,2.272727273,2.834710744,2.272727273
174,22,48,10,5,3,1,0,3,27,0.61337561,1.715956863,3.702861176,-1.262971993,-2.67E-17,1.262971993,2.181818182,2.966942149,2.181818182
175,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
176,20,44,8,4,6,1,0,3,25,0.939253441,1.6790452,3.467048447,-1.239347366,-1.32E-16,1.239347366,2.2,2.76,2.2
177,13,28,6,3,3,1,1,1,16,1,1.796999239,3.416368887,-1.276754799,-2.66E-33,1,2.153846154,2.74556213,2.153846154
178,22,46,14,7,4,1,0,2,25,0.901090843,1.522322255,3.237974586,-1.040756847,-1.73E-17,1.040756847,2.090909091,2.628099174,2.090909091
179,28,66,9,5,6,2,0,6,39,0.95958156,1.86866451,3.801555747,-1.297640424,-1.34E-17,1.297640424,2.357142857,2.87244898,2.357142857
180,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
181,14,30,6,3,5,1,0,2,17,0.859220746,1.646207244,3.440841893,-1.156531493,8.47E-17,1.156531493,2.142857143,2.693877551,2.142857143
182,22,50,9,5,4,4,0,4,29,0.880401734,1.769800781,3.62785634,-1.139148283,-5.74E-19,1.139148283,2.272727273,2.834710744,2.272727273
183,22,50,9,5,4,3,1,3,29,1,1.842732707,3.559204632,-1.26868768,1.38E-19,1.248845029,2.272727273,2.834710744,2.272727273
184,13,26,6,3,3,1,0,1,14,0.809149143,1.234414043,3.20402571,-1,1.55E-17,1,2,2.769230769,2
185,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
186,21,48,9,5,3,3,0,4,28,1,1.800815469,3.510904681,-1.285575219,1.12E-47,1.285575219,2.285714286,2.680272109,2.285714286
187,16,36,8,4,3,1,1,2,21,0.972198473,1.940801168,3.44799728,-1.227411901,0.086461565,1.250393735,2.25,2.6875,2.25
